fishid,pr_pel_mean,date,diel_period,tl_mm,weight_g,lake,sex
T412067,0.902255639097744,3000-06-01,night,1145,8200,Most,F
T412067,0.186252771618625,3000-06-01,day,1145,8200,Most,F
T412067,0.381818181818182,3000-06-02,night,1145,8200,Most,F
T412067,0.164383561643836,3000-06-03,night,1145,8200,Most,F
T412067,0.0452127659574468,3000-06-03,day,1145,8200,Most,F
T412067,0.483870967741936,3000-06-04,night,1145,8200,Most,F
T412067,0.268292682926829,3000-06-04,day,1145,8200,Most,F
T412067,0.111111111111111,3000-06-07,day,1145,8200,Most,F
T412067,0.166666666666667,3000-06-07,night,1145,8200,Most,F
T412067,0.0955414012738854,3000-06-08,day,1145,8200,Most,F
T412067,0.165680473372781,3000-06-08,night,1145,8200,Most,F
T412067,0.0683060109289618,3000-06-09,night,1145,8200,Most,F
T412067,0.162257495590829,3000-06-09,day,1145,8200,Most,F
T412067,0.0552486187845304,3000-06-10,day,1145,8200,Most,F
T412067,0.00806451612903226,3000-06-10,night,1145,8200,Most,F
T412067,0.0625,3000-06-11,night,1145,8200,Most,F
T412067,0.285714285714286,3000-06-12,day,1145,8200,Most,F
T412067,0.203883495145631,3000-06-13,day,1145,8200,Most,F
T412067,0.0602409638554217,3000-06-13,night,1145,8200,Most,F
T412067,0.903954802259887,3000-06-14,night,1145,8200,Most,F
T412067,0.9075,3000-06-14,day,1145,8200,Most,F
T412067,0.0769230769230769,3000-06-15,night,1145,8200,Most,F
T412067,0.936548223350254,3000-06-15,day,1145,8200,Most,F
T412067,0.137931034482759,3000-06-16,day,1145,8200,Most,F
T412067,0.423529411764706,3000-06-16,night,1145,8200,Most,F
T412067,0.168604651162791,3000-06-17,day,1145,8200,Most,F
T412067,0.05,3000-06-17,night,1145,8200,Most,F
T412067,0.0933333333333333,3000-06-18,night,1145,8200,Most,F
T412067,0.550359712230216,3000-06-18,day,1145,8200,Most,F
T412067,0.550935550935551,3000-06-19,day,1145,8200,Most,F
T412067,0.272727272727273,3000-06-19,night,1145,8200,Most,F
T412067,0.485576923076923,3000-06-20,day,1145,8200,Most,F
T412067,0.0681818181818182,3000-06-20,night,1145,8200,Most,F
T412067,0.0968468468468468,3000-06-21,night,1145,8200,Most,F
T412067,0.610698365527489,3000-06-21,day,1145,8200,Most,F
T412067,0.084070796460177,3000-06-22,night,1145,8200,Most,F
T412067,0.481975967957276,3000-06-22,day,1145,8200,Most,F
T412067,0.0445544554455446,3000-06-23,night,1145,8200,Most,F
T412067,0.102097902097902,3000-06-23,day,1145,8200,Most,F
T412067,0.222882615156018,3000-06-24,day,1145,8200,Most,F
T412067,0.0150375939849624,3000-06-24,night,1145,8200,Most,F
T412067,0.536231884057971,3000-06-25,day,1145,8200,Most,F
T412067,0.0404255319148936,3000-06-26,day,1145,8200,Most,F
T412067,0.0681818181818182,3000-06-26,night,1145,8200,Most,F
T412067,0.0714285714285714,3000-06-27,night,1145,8200,Most,F
T412067,0.039727582292849,3000-06-27,day,1145,8200,Most,F
T412067,0.148063781321185,3000-06-28,night,1145,8200,Most,F
T412067,0.69811320754717,3000-06-28,day,1145,8200,Most,F
T412067,0.280701754385965,3000-06-29,night,1145,8200,Most,F
T412067,0.581395348837209,3000-06-29,day,1145,8200,Most,F
T412067,1,3000-07-05,night,1145,8200,Most,F
T412067,1,3000-07-06,night,1145,8200,Most,F
T412067,0.0806451612903226,3000-07-07,night,1145,8200,Most,F
T412067,0.5625,3000-07-07,day,1145,8200,Most,F
T412067,0.189189189189189,3000-07-08,night,1145,8200,Most,F
T412067,0.580952380952381,3000-07-08,day,1145,8200,Most,F
T412067,0.262295081967213,3000-07-09,night,1145,8200,Most,F
T412067,0.09,3000-07-09,day,1145,8200,Most,F
T412067,0.214285714285714,3000-07-10,night,1145,8200,Most,F
T412067,0.51338199513382,3000-07-12,night,1145,8200,Most,F
T412067,0.0425531914893617,3000-07-15,night,1145,8200,Most,F
T412067,0.308641975308642,3000-07-16,night,1145,8200,Most,F
T412067,0.53448275862069,3000-07-17,night,1145,8200,Most,F
