fishid,diel_period,date,med.activ,mean.activ,sd.activ,tl_mm,weight_g,sex,lake,pit_id
T412067,night,2015-06-01,0.160569532893276,0.148530265478966,0.0724181727269623,1145,8200,F,Most,900108001617798
T412067,day,2015-06-01,0.00370144087128836,0.0645113715675374,0.103327097802158,1145,8200,F,Most,900108001617798
T412067,night,2015-06-02,0.103716102777696,0.117300416805672,0.0825292555275491,1145,8200,F,Most,900108001617798
T412067,day,2015-06-02,0.00076841285314403,0.00607828683456686,0.0142540054543885,1145,8200,F,Most,900108001617798
T412067,night,2015-06-03,0.204565453636482,0.192839468567696,0.130897851326465,1145,8200,F,Most,900108001617798
T412067,day,2015-06-03,0.00445552416328716,0.0322068149802844,0.0927946533059763,1145,8200,F,Most,900108001617798
T412067,night,2015-06-04,0.0817535139008684,0.167125555207983,0.153562993157014,1145,8200,F,Most,900108001617798
T412067,day,2015-06-04,0.0505672197617849,0.152015922698067,0.148370841671503,1145,8200,F,Most,900108001617798
T412067,night,2015-06-05,0.170144616639626,0.170144616639626,,1145,8200,F,Most,900108001617798
T412067,day,2015-06-05,0.229104693769279,0.219884924666451,0.0191872135042814,1145,8200,F,Most,900108001617798
T412067,day,2015-06-07,0.0105047349237075,0.0106122150724389,0.00337741762313176,1145,8200,F,Most,900108001617798
T412067,night,2015-06-07,0.00552333667194816,0.00606249226482251,0.00463924534843857,1145,8200,F,Most,900108001617798
T412067,night,2015-06-08,0.223819802386061,0.222005490156095,0.0870157307535418,1145,8200,F,Most,900108001617798
T412067,day,2015-06-08,0.105955913294529,0.155252452896352,0.125032245241651,1145,8200,F,Most,900108001617798
T412067,night,2015-06-09,0.11637932180861,0.12650623015714,0.0718777072692789,1145,8200,F,Most,900108001617798
T412067,day,2015-06-09,0.102044977201635,0.117196516113079,0.0775388164734004,1145,8200,F,Most,900108001617798
T412067,night,2015-06-10,0.05822355926003,0.0766902517676216,0.0632110670123909,1145,8200,F,Most,900108001617798
T412067,day,2015-06-10,0.0864097372171901,0.118604918720555,0.104911141069103,1145,8200,F,Most,900108001617798
T412067,night,2015-06-11,0.00567305574825017,0.0133986257272354,0.0123665850143474,1145,8200,F,Most,900108001617798
T412067,day,2015-06-11,0.00280846895687661,0.00424084743907266,0.00278002790759867,1145,8200,F,Most,900108001617798
T412067,night,2015-06-12,0.0169612932458658,0.0146254471439167,0.00559429481208015,1145,8200,F,Most,900108001617798
T412067,day,2015-06-12,0.0191082298589076,0.0190848249364576,0.000399497078417154,1145,8200,F,Most,900108001617798
T412067,day,2015-06-13,0.144387293687786,0.171602457943785,0.103725624083888,1145,8200,F,Most,900108001617798
T412067,night,2015-06-13,0.179041453289864,0.165303733536052,0.0791999126850931,1145,8200,F,Most,900108001617798
T412067,night,2015-06-14,0.140986833516908,0.14196959617312,0.0757008664096085,1145,8200,F,Most,900108001617798
T412067,day,2015-06-14,0.0693749790723366,0.107219161748097,0.0839876680157109,1145,8200,F,Most,900108001617798
T412067,night,2015-06-15,0.191950128189057,0.130027670851277,0.114977145668661,1145,8200,F,Most,900108001617798
T412067,day,2015-06-15,0.0863935316169562,0.118056901107586,0.0932495428950337,1145,8200,F,Most,900108001617798
T412067,night,2015-06-16,0.0711513447998387,0.15568583383881,0.142108563684962,1145,8200,F,Most,900108001617798
T412067,day,2015-06-16,0.031980777968285,0.0293226697932309,0.0104767367697497,1145,8200,F,Most,900108001617798
T412067,night,2015-06-17,0.0676060401090929,0.0879875236603863,0.0669099312594692,1145,8200,F,Most,900108001617798
T412067,day,2015-06-17,0.0262590017030979,0.0414194889100773,0.0489102478745206,1145,8200,F,Most,900108001617798
T412067,night,2015-06-18,0.0977057792092058,0.15113342496141,0.124386057553441,1145,8200,F,Most,900108001617798
T412067,day,2015-06-18,0.276923468786909,0.252921659761538,0.114931934171364,1145,8200,F,Most,900108001617798
T412067,night,2015-06-19,0.253177848967942,0.215288050356368,0.157032680499801,1145,8200,F,Most,900108001617798
T412067,day,2015-06-19,0.302047412714234,0.263076603934732,0.127766762285792,1145,8200,F,Most,900108001617798
T412067,night,2015-06-20,0.173908248320892,0.187569926836121,0.111794355810983,1145,8200,F,Most,900108001617798
T412067,day,2015-06-20,0.166854147205659,0.165902676026606,0.105615852006628,1145,8200,F,Most,900108001617798
T412067,night,2015-06-21,0.167662055225409,0.168627315420951,0.0902047611734272,1145,8200,F,Most,900108001617798
T412067,day,2015-06-21,0.180103181789945,0.176323134233971,0.0988052769804248,1145,8200,F,Most,900108001617798
T412067,night,2015-06-22,0.0854844752613836,0.106968140009221,0.07729871153785,1145,8200,F,Most,900108001617798
T412067,day,2015-06-22,0.0467075923578482,0.0840182577015441,0.0851108695972316,1145,8200,F,Most,900108001617798
T412067,night,2015-06-23,0.121685913021392,0.127175133871554,0.0739199196671294,1145,8200,F,Most,900108001617798
T412067,day,2015-06-23,0.0183560117007696,0.0637488688898206,0.0798676315974356,1145,8200,F,Most,900108001617798
T412067,night,2015-06-24,0.137019994606381,0.147865822557084,0.0836358627401218,1145,8200,F,Most,900108001617798
T412067,day,2015-06-24,0.0918622917236175,0.118098855744145,0.0954611940440573,1145,8200,F,Most,900108001617798
T412067,night,2015-06-25,0.0226729489688281,0.0208642998499601,0.014031086669199,1145,8200,F,Most,900108001617798
T412067,day,2015-06-25,0.0674684244090351,0.0892144732956179,0.0858474419492549,1145,8200,F,Most,900108001617798
T412067,night,2015-06-26,0.22721817470096,0.190988983650155,0.0854805436169327,1145,8200,F,Most,900108001617798
T412067,day,2015-06-26,0.023702868698335,0.0543717478600723,0.0726089389056711,1145,8200,F,Most,900108001617798
T412067,night,2015-06-27,0.148766058344438,0.16062475380036,0.085924946466884,1145,8200,F,Most,900108001617798
T412067,day,2015-06-27,0.00218407743436989,0.0325030336590978,0.0633138457758401,1145,8200,F,Most,900108001617798
T412067,night,2015-06-28,0.135849306877758,0.143325649341613,0.0929347344901329,1145,8200,F,Most,900108001617798
T412067,day,2015-06-28,0.0810590690566211,0.1027033155886,0.0732774244007206,1145,8200,F,Most,900108001617798
T412067,night,2015-06-29,0.109150683758148,0.1093742896465,0.0582724298009199,1145,8200,F,Most,900108001617798
T412067,day,2015-06-29,0.08785338703295,0.0971249064059442,0.0916758614185021,1145,8200,F,Most,900108001617798
T412067,night,2015-07-05,0.0530230512266606,0.0942075022167555,0.0590069313526162,1145,8200,F,Most,900108001617798
T412067,night,2015-07-06,0.226635033579965,0.215854200870668,0.0522441024272189,1145,8200,F,Most,900108001617798
T412067,night,2015-07-07,0.143013627666137,0.169218100885733,0.122937655496429,1145,8200,F,Most,900108001617798
T412067,day,2015-07-07,0.291390537861962,0.30091183067437,0.0658155820049131,1145,8200,F,Most,900108001617798
T412067,night,2015-07-08,0.244206439351419,0.216601068963306,0.1778394504993,1145,8200,F,Most,900108001617798
T412067,day,2015-07-08,0.235843307209824,0.208464838772688,0.130867740133148,1145,8200,F,Most,900108001617798
T412067,night,2015-07-09,0.143496065998686,0.178791694844984,0.147515381828048,1145,8200,F,Most,900108001617798
T412067,day,2015-07-09,0.0694314796911232,0.0861263089851816,0.0706498936000267,1145,8200,F,Most,900108001617798
T412067,night,2015-07-10,0.2441176171432,0.25767829273592,0.143270944131617,1145,8200,F,Most,900108001617798
T412067,day,2015-07-10,0.0822987369740451,0.0733227673807568,0.028649275337686,1145,8200,F,Most,900108001617798
T412067,night,2015-07-11,0.161516277803714,0.198289858725991,0.155462339930863,1145,8200,F,Most,900108001617798
T412067,night,2015-07-12,0.303235841855638,0.278467280390443,0.115559341598835,1145,8200,F,Most,900108001617798
T412067,day,2015-07-12,0.0658520298509287,0.0464965915475303,0.0354866707746316,1145,8200,F,Most,900108001617798
T412067,day,2015-07-13,0.00320074739710412,0.00549933776180122,0.00630621227703774,1145,8200,F,Most,900108001617798
T412067,night,2015-07-13,0.00230145919432138,0.00238921717043691,0.000517699151193289,1145,8200,F,Most,900108001617798
T412067,night,2015-07-14,0.00572073614869374,0.00548856090594884,0.00248404033776843,1145,8200,F,Most,900108001617798
T412067,day,2015-07-14,0.00404077385971725,0.00404077385971725,,1145,8200,F,Most,900108001617798
T412067,day,2015-07-15,0.0130897915941652,0.0206225045846509,0.0174698714968398,1145,8200,F,Most,900108001617798
T412067,night,2015-07-15,0.0583834561769895,0.111541759922899,0.0994433097364092,1145,8200,F,Most,900108001617798
T412067,night,2015-07-16,0.18554380777624,0.164008559909161,0.0984887313258738,1145,8200,F,Most,900108001617798
T412067,day,2015-07-16,0.0115860726902475,0.0299666316293549,0.0341091117637466,1145,8200,F,Most,900108001617798
T412067,night,2015-07-17,0.286625167230812,0.275478244500598,0.104417730554357,1145,8200,F,Most,900108001617798
T412067,day,2015-07-17,0.0261412269932139,0.0250564569834444,0.00321550098165682,1145,8200,F,Most,900108001617798
T412067,night,2015-07-18,0.27419219504381,0.253729269641298,0.127255924444904,1145,8200,F,Most,900108001617798
T412067,night,2015-07-19,0.168344341449943,0.1487666270815,0.0962444627792412,1145,8200,F,Most,900108001617798
T412067,day,2015-07-19,0.194402985082079,0.192323499233061,0.0689859773669805,1145,8200,F,Most,900108001617798
T412067,night,2015-07-20,0.080972561316741,0.0927748220051157,0.0670536908140735,1145,8200,F,Most,900108001617798
T412067,day,2015-07-20,0.066737200302947,0.062173930903848,0.0126425153832272,1145,8200,F,Most,900108001617798
T412067,night,2015-07-21,0.194262645289173,0.177268161369089,0.126867667833315,1145,8200,F,Most,900108001617798
T412067,day,2015-07-21,0.0130973775412493,0.0140044673002957,0.0112310363250551,1145,8200,F,Most,900108001617798
T412067,night,2015-07-22,0.136080657590141,0.169986371283266,0.131117314880194,1145,8200,F,Most,900108001617798
T412067,day,2015-07-22,0.10156546052966,0.101181479024338,0.050841744611161,1145,8200,F,Most,900108001617798
T412067,night,2015-07-23,0.294252623910811,0.269812975488595,0.0870561540085009,1145,8200,F,Most,900108001617798
T412067,day,2015-07-23,0.0780366365708015,0.0878031131406745,0.0468327015373345,1145,8200,F,Most,900108001617798
T412067,night,2015-07-24,0.180185962181287,0.181456580975589,0.100683016483606,1145,8200,F,Most,900108001617798
