fishid,ka,date,tl_mm,weight_g,lake,sex
T412067,31.94,3000-06-01,1145,8200,Most,F
T412067,15.86,3000-06-02,1145,8200,Most,F
T412067,13.6,3000-06-03,1145,8200,Most,F
T412067,18.75,3000-06-04,1145,8200,Most,F
T412067,40.96,3000-06-08,1145,8200,Most,F
T412067,28.57,3000-06-09,1145,8200,Most,F
T412067,17.7,3000-06-10,1145,8200,Most,F
T412067,15.97,3000-06-13,1145,8200,Most,F
T412067,26.49,3000-06-14,1145,8200,Most,F
T412067,17.58,3000-06-15,1145,8200,Most,F
T412067,20.71,3000-06-16,1145,8200,Most,F
T412067,11.28,3000-06-17,1145,8200,Most,F
T412067,59.69,3000-06-18,1145,8200,Most,F
T412067,59.59,3000-06-19,1145,8200,Most,F
T412067,37.48,3000-06-20,1145,8200,Most,F
T412067,30.55,3000-06-21,1145,8200,Most,F
T412067,17.81,3000-06-22,1145,8200,Most,F
T412067,13.21,3000-06-23,1145,8200,Most,F
T412067,32.82,3000-06-24,1145,8200,Most,F
T412067,17.57,3000-06-25,1145,8200,Most,F
T412067,10.35,3000-06-26,1145,8200,Most,F
T412067,10.23,3000-06-27,1145,8200,Most,F
T412067,39.76,3000-06-28,1145,8200,Most,F
T412067,10.41,3000-06-29,1145,8200,Most,F
T412067,15.8,3000-07-07,1145,8200,Most,F
T412067,40.02,3000-07-08,1145,8200,Most,F
T412067,11.58,3000-07-09,1145,8200,Most,F
T412067,23,3000-07-10,1145,8200,Most,F
T412067,66.13,3000-07-12,1145,8200,Most,F
T412067,14.77,3000-07-16,1145,8200,Most,F
T412067,21.01,3000-07-18,1145,8200,Most,F
T412067,50.2,3000-07-19,1145,8200,Most,F
T412067,15.97,3000-07-21,1145,8200,Most,F
T412067,23.99,3000-07-22,1145,8200,Most,F
T412067,37.01,3000-07-23,1145,8200,Most,F
T412067,23.33,3000-07-24,1145,8200,Most,F
T412067,8.1,3000-07-25,1145,8200,Most,F
T412067,87.37,3000-07-26,1145,8200,Most,F
T412067,31.97,3000-07-27,1145,8200,Most,F
T412067,44.72,3000-07-28,1145,8200,Most,F
T412067,27.06,3000-07-31,1145,8200,Most,F
T412067,29.32,3000-08-01,1145,8200,Most,F
T412067,27.05,3000-08-02,1145,8200,Most,F
T412067,20.62,3000-08-03,1145,8200,Most,F
T412067,26.08,3000-08-04,1145,8200,Most,F
T412067,11.58,3000-08-05,1145,8200,Most,F
T412067,14.25,3000-08-09,1145,8200,Most,F
T412067,44.33,3000-08-10,1145,8200,Most,F
T412067,25.96,3000-08-12,1145,8200,Most,F
T412067,32.18,3000-08-13,1145,8200,Most,F
T412067,30.31,3000-08-14,1145,8200,Most,F
T412067,49.23,3000-08-15,1145,8200,Most,F
T412067,35.69,3000-08-16,1145,8200,Most,F
T412067,25.56,3000-08-17,1145,8200,Most,F
T412067,9.74,3000-08-18,1145,8200,Most,F
T412067,22.84,3000-08-22,1145,8200,Most,F
T412067,21.67,3000-08-23,1145,8200,Most,F
T412067,11.31,3000-08-24,1145,8200,Most,F
T412067,13.34,3000-08-25,1145,8200,Most,F
T412067,49.31,3000-08-26,1145,8200,Most,F
T412067,13.16,3000-08-27,1145,8200,Most,F
T412067,25.94,3000-08-28,1145,8200,Most,F
T412067,25.45,3000-08-29,1145,8200,Most,F
T412067,3.17,3000-08-30,1145,8200,Most,F
T412067,4.09,3000-09-13,1145,8200,Most,F
T412067,7.5,3000-09-16,1145,8200,Most,F
T412067,22.67,3000-09-22,1145,8200,Most,F
T412067,24.26,3000-09-23,1145,8200,Most,F
T412067,27.05,3000-09-24,1145,8200,Most,F
T412067,28.61,3000-10-03,1145,8200,Most,F
T412067,23.58,3000-10-04,1145,8200,Most,F
T412067,4.29,3000-10-06,1145,8200,Most,F
T412067,22.66,3000-10-08,1145,8200,Most,F
T412067,16.99,3000-10-09,1145,8200,Most,F
T412067,21.45,3000-10-11,1145,8200,Most,F
T412067,7.48,3000-10-12,1145,8200,Most,F
T412067,10.16,3000-10-14,1145,8200,Most,F
T412067,8.18,3000-10-15,1145,8200,Most,F
T412067,4.95,3000-10-16,1145,8200,Most,F
T412067,2.96,3000-10-17,1145,8200,Most,F
T412067,7.59,3000-10-18,1145,8200,Most,F
T412067,6.58,3000-10-19,1145,8200,Most,F
T412067,9.58,3000-10-30,1145,8200,Most,F
