fishid,ka,date,diel_period,tl_mm,weight_g,lake,sex
T412067,10.4,3000-06-01,day,1145,8200,Most,F
T412067,30.38,3000-06-01,night,1145,8200,Most,F
T412067,2.06,3000-06-02,day,1145,8200,Most,F
T412067,20.42,3000-06-02,night,1145,8200,Most,F
T412067,4.18,3000-06-03,day,1145,8200,Most,F
T412067,15.95,3000-06-03,night,1145,8200,Most,F
T412067,7.65,3000-06-04,day,1145,8200,Most,F
T412067,11.76,3000-06-04,night,1145,8200,Most,F
T412067,2.42,3000-06-07,day,1145,8200,Most,F
T412067,13.52,3000-06-08,day,1145,8200,Most,F
T412067,30.48,3000-06-08,night,1145,8200,Most,F
T412067,29.33,3000-06-09,day,1145,8200,Most,F
T412067,7.59,3000-06-09,night,1145,8200,Most,F
T412067,24.09,3000-06-10,day,1145,8200,Most,F
T412067,5.26,3000-06-10,night,1145,8200,Most,F
T412067,1.45,3000-06-11,day,1145,8200,Most,F
T412067,3.48,3000-06-11,night,1145,8200,Most,F
T412067,10.72,3000-06-13,day,1145,8200,Most,F
T412067,9.63,3000-06-13,night,1145,8200,Most,F
T412067,15.62,3000-06-14,day,1145,8200,Most,F
T412067,14.58,3000-06-14,night,1145,8200,Most,F
T412067,15.17,3000-06-15,day,1145,8200,Most,F
T412067,5.68,3000-06-15,night,1145,8200,Most,F
T412067,3.16,3000-06-16,day,1145,8200,Most,F
T412067,19.96,3000-06-16,night,1145,8200,Most,F
T412067,6.56,3000-06-17,day,1145,8200,Most,F
T412067,8.72,3000-06-17,night,1145,8200,Most,F
T412067,52.94,3000-06-18,day,1145,8200,Most,F
T412067,21.1,3000-06-18,night,1145,8200,Most,F
T412067,53.72,3000-06-19,day,1145,8200,Most,F
T412067,16.38,3000-06-19,night,1145,8200,Most,F
T412067,26.67,3000-06-20,day,1145,8200,Most,F
T412067,19.93,3000-06-20,night,1145,8200,Most,F
T412067,30.58,3000-06-21,day,1145,8200,Most,F
T412067,15.31,3000-06-21,night,1145,8200,Most,F
T412067,17.5,3000-06-22,day,1145,8200,Most,F
T412067,9.25,3000-06-22,night,1145,8200,Most,F
T412067,12.27,3000-06-23,day,1145,8200,Most,F
T412067,7.79,3000-06-23,night,1145,8200,Most,F
T412067,32.85,3000-06-24,day,1145,8200,Most,F
T412067,10.51,3000-06-24,night,1145,8200,Most,F
T412067,16.16,3000-06-25,day,1145,8200,Most,F
T412067,5.46,3000-06-26,day,1145,8200,Most,F
T412067,13.99,3000-06-26,night,1145,8200,Most,F
T412067,7.79,3000-06-27,day,1145,8200,Most,F
T412067,10.04,3000-06-27,night,1145,8200,Most,F
T412067,35.63,3000-06-28,day,1145,8200,Most,F
T412067,15.88,3000-06-28,night,1145,8200,Most,F
T412067,6.09,3000-06-29,day,1145,8200,Most,F
T412067,8.95,3000-06-29,night,1145,8200,Most,F
T412067,6.01,3000-07-05,night,1145,8200,Most,F
T412067,7.59,3000-07-06,night,1145,8200,Most,F
T412067,7.55,3000-07-07,day,1145,8200,Most,F
T412067,11.44,3000-07-07,night,1145,8200,Most,F
T412067,26.43,3000-07-08,day,1145,8200,Most,F
T412067,22.38,3000-07-08,night,1145,8200,Most,F
T412067,6.42,3000-07-09,day,1145,8200,Most,F
T412067,11.16,3000-07-09,night,1145,8200,Most,F
T412067,2.58,3000-07-10,day,1145,8200,Most,F
T412067,22.71,3000-07-10,night,1145,8200,Most,F
T412067,7.7,3000-07-11,night,1145,8200,Most,F
T412067,65.85,3000-07-12,night,1145,8200,Most,F
T412067,2.8,3000-07-13,day,1145,8200,Most,F
T412067,1.92,3000-07-13,night,1145,8200,Most,F
T412067,1.9,3000-07-14,night,1145,8200,Most,F
T412067,6.19,3000-07-15,night,1145,8200,Most,F
T412067,1.91,3000-07-16,day,1145,8200,Most,F
T412067,17.46,3000-07-16,night,1145,8200,Most,F
T412067,15.31,3000-07-17,night,1145,8200,Most,F
T412067,21.01,3000-07-18,night,1145,8200,Most,F
T412067,42.81,3000-07-19,day,1145,8200,Most,F
T412067,10.98,3000-07-19,night,1145,8200,Most,F
T412067,7.58,3000-07-20,night,1145,8200,Most,F
T412067,16.16,3000-07-21,night,1145,8200,Most,F
T412067,24.26,3000-07-22,night,1145,8200,Most,F
T412067,3.11,3000-07-23,day,1145,8200,Most,F
T412067,36.19,3000-07-23,night,1145,8200,Most,F
T412067,6.64,3000-07-24,day,1145,8200,Most,F
T412067,20.64,3000-07-24,night,1145,8200,Most,F
T412067,8.13,3000-07-25,night,1145,8200,Most,F
T412067,32.27,3000-07-26,day,1145,8200,Most,F
T412067,57.69,3000-07-26,night,1145,8200,Most,F
T412067,31.07,3000-07-27,night,1145,8200,Most,F
T412067,42.83,3000-07-28,night,1145,8200,Most,F
T412067,6.97,3000-07-29,night,1145,8200,Most,F
T412067,2.27,3000-07-30,night,1145,8200,Most,F
T412067,27.22,3000-07-31,night,1145,8200,Most,F
T412067,29.32,3000-08-01,night,1145,8200,Most,F
T412067,9.14,3000-08-02,day,1145,8200,Most,F
T412067,22.44,3000-08-02,night,1145,8200,Most,F
T412067,20.62,3000-08-03,night,1145,8200,Most,F
T412067,26.08,3000-08-04,night,1145,8200,Most,F
T412067,2.36,3000-08-05,day,1145,8200,Most,F
T412067,16.62,3000-08-05,night,1145,8200,Most,F
T412067,2.45,3000-08-06,night,1145,8200,Most,F
T412067,8.55,3000-08-07,night,1145,8200,Most,F
T412067,14.25,3000-08-09,night,1145,8200,Most,F
T412067,44.33,3000-08-10,night,1145,8200,Most,F
T412067,9.05,3000-08-11,night,1145,8200,Most,F
T412067,25.89,3000-08-12,night,1145,8200,Most,F
T412067,6.75,3000-08-13,day,1145,8200,Most,F
T412067,29.32,3000-08-13,night,1145,8200,Most,F
T412067,7.77,3000-08-14,day,1145,8200,Most,F
T412067,24.61,3000-08-14,night,1145,8200,Most,F
T412067,31.43,3000-08-15,day,1145,8200,Most,F
T412067,21.45,3000-08-15,night,1145,8200,Most,F
T412067,17.16,3000-08-16,day,1145,8200,Most,F
T412067,30.91,3000-08-16,night,1145,8200,Most,F
T412067,2.35,3000-08-17,day,1145,8200,Most,F
T412067,26.81,3000-08-17,night,1145,8200,Most,F
T412067,9.74,3000-08-18,night,1145,8200,Most,F
T412067,6.37,3000-08-19,night,1145,8200,Most,F
T412067,4.22,3000-08-20,night,1145,8200,Most,F
T412067,2.44,3000-08-21,night,1145,8200,Most,F
T412067,23.13,3000-08-22,night,1145,8200,Most,F
T412067,5.44,3000-08-23,day,1145,8200,Most,F
T412067,19.74,3000-08-23,night,1145,8200,Most,F
T412067,6.72,3000-08-24,day,1145,8200,Most,F
T412067,6.57,3000-08-24,night,1145,8200,Most,F
T412067,8.84,3000-08-25,day,1145,8200,Most,F
T412067,9.01,3000-08-25,night,1145,8200,Most,F
T412067,19.58,3000-08-26,day,1145,8200,Most,F
T412067,36.58,3000-08-26,night,1145,8200,Most,F
T412067,5.34,3000-08-27,day,1145,8200,Most,F
T412067,13.78,3000-08-27,night,1145,8200,Most,F
T412067,8.84,3000-08-28,day,1145,8200,Most,F
T412067,20.88,3000-08-28,night,1145,8200,Most,F
T412067,25.07,3000-08-29,night,1145,8200,Most,F
T412067,3.17,3000-08-30,night,1145,8200,Most,F
T412067,9,3000-09-01,night,1145,8200,Most,F
T412067,8.51,3000-09-02,night,1145,8200,Most,F
T412067,3.92,3000-09-13,night,1145,8200,Most,F
T412067,1.84,3000-09-14,night,1145,8200,Most,F
T412067,4.78,3000-09-16,day,1145,8200,Most,F
T412067,5.76,3000-09-16,night,1145,8200,Most,F
T412067,8.11,3000-09-17,night,1145,8200,Most,F
T412067,4.12,3000-09-18,day,1145,8200,Most,F
T412067,11.1,3000-09-18,night,1145,8200,Most,F
T412067,6.47,3000-09-19,night,1145,8200,Most,F
T412067,5.93,3000-09-21,night,1145,8200,Most,F
T412067,21.38,3000-09-22,night,1145,8200,Most,F
T412067,22.93,3000-09-23,night,1145,8200,Most,F
T412067,27.05,3000-09-24,night,1145,8200,Most,F
T412067,6.64,3000-09-25,night,1145,8200,Most,F
T412067,7.45,3000-09-26,night,1145,8200,Most,F
T412067,4.81,3000-09-27,night,1145,8200,Most,F
T412067,19.06,3000-09-28,night,1145,8200,Most,F
T412067,13.39,3000-09-29,night,1145,8200,Most,F
T412067,7.99,3000-09-30,night,1145,8200,Most,F
T412067,5.11,3000-10-01,day,1145,8200,Most,F
T412067,11.02,3000-10-02,night,1145,8200,Most,F
T412067,1.84,3000-10-03,day,1145,8200,Most,F
T412067,36.52,3000-10-03,night,1145,8200,Most,F
T412067,1.91,3000-10-04,day,1145,8200,Most,F
T412067,37.69,3000-10-04,night,1145,8200,Most,F
T412067,7.15,3000-10-05,night,1145,8200,Most,F
T412067,4.29,3000-10-06,night,1145,8200,Most,F
T412067,10.1,3000-10-07,night,1145,8200,Most,F
T412067,6.12,3000-10-08,day,1145,8200,Most,F
T412067,24.17,3000-10-08,night,1145,8200,Most,F
T412067,16.99,3000-10-09,night,1145,8200,Most,F
T412067,14.28,3000-10-10,night,1145,8200,Most,F
T412067,21.88,3000-10-11,night,1145,8200,Most,F
T412067,1.71,3000-10-12,day,1145,8200,Most,F
T412067,11.23,3000-10-12,night,1145,8200,Most,F
T412067,4.3,3000-10-13,night,1145,8200,Most,F
